City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,kemijarvi,66.7131,27.4306,-20.38,100,87,1.78,FI,1677089931
328,xingcheng,40.6167,120.7167,0.45,61,0,1.18,CN,1677089931
329,xiongzhou,25.1167,114.3,10.91,68,8,1.48,CN,1677089931
330,isangel,-19.55,169.2667,24.98,78,100,3.05,VU,1677089932
331,khilok,51.3674,110.4676,-19.84,99,68,1.28,RU,1677089932
332,sao gabriel da cachoeira,-0.1303,-67.0892,29.89,74,40,2.57,BR,1677089933
333,havelock,34.8791,-76.9013,25.98,76,64,3.13,US,1677089934
334,walvis bay,-22.9575,14.5053,20.53,73,9,3.09,NA,1677089676
335,puerto del rosario,28.5004,-13.8627,18.86,77,40,8.75,ES,1677089934
336,port blair,11.6667,92.75,25.86,75,47,3.27,IN,1677089740
337,punta de bombon,-17.1717,-71.7931,24.16,76,100,4.66,PE,1677089935
338,mangai,-4.05,19.5333,20.15,98,100,1.13,CD,1677089935
339,laguna,38.421,-121.4238,10.08,52,0,2.57,US,1677089936
340,ewa beach,21.3156,-158.0072,24.36,73,40,4.12,US,1677089936
341,samarai,-10.6167,150.6667,26.53,78,99,2.15,PG,1677089937
342,sharlyk,52.9167,54.75,-4.33,95,100,7.08,RU,1677089937
343,mangochi,-14.4782,35.2645,23.1,93,100,2.42,MW,1677089938
344,juegang,32.3174,121.1855,5.55,86,100,1.98,CN,1677089939
345,hongjiang,27.11,109.9956,6.38,90,100,1.39,CN,1677089940
346,krasnoselkup,65.7,82.4667,-7.43,90,100,8.85,RU,1677089940
347,amga,60.8953,131.9608,-21.0,100,99,0.6,RU,1677089941
348,yaan,7.3833,8.5667,33.78,13,71,1.16,NG,1677089942
349,yichang,30.7144,111.2847,5.87,82,93,0.35,CN,1677089943
350,voh,-20.9667,164.7,23.09,89,100,1.9,NC,1677089944
351,mantua,45.1667,10.7833,10.61,86,93,0.45,IT,1677089945
352,vondrozo,-22.8167,47.2833,21.48,99,90,1.85,MG,1677089945
353,boksitogorsk,59.474,33.8485,-19.66,100,98,1.22,RU,1677089946
354,tuatapere,-46.1333,167.6833,9.18,86,100,1.62,NZ,1677089947
355,norman wells,65.282,-126.8329,-32.98,68,40,0.0,CA,1677089948
356,gulbene,57.1777,26.7529,-14.52,98,61,0.95,LV,1677089949
357,necochea,-38.5473,-58.7368,32.78,28,3,4.29,AR,1677089950
358,belfast,54.5833,-5.9333,6.9,76,40,6.17,GB,1677089950
359,rassvet,46.8333,40.75,-4.17,79,53,3.19,RU,1677089951
360,kirakira,-10.4544,161.9205,26.08,85,88,1.27,SB,1677089952
361,axim,4.8699,-2.2405,27.92,78,51,4.31,GH,1677089789
362,sola,-13.8833,167.55,27.35,74,94,2.32,VU,1677089954
363,peshkovo,47.0187,39.3885,-2.29,76,13,2.06,RU,1677089955
